"mysitename","lon","lat","elv","year_start","year_end","years_data","class","classid","type"
"AT-Neu",11.3175,47.11667,970,2002,2004,3,"Grasslands","GRA","C3"
"AU-Fog",131.306883,-12.542533,-9999,2006,2007,2,"Permanent Wetlands","WET",""
"AU-How",131.15231,-12.49428,-9999,2001,2006,6,"Woody Savannas","WSA","C3C4"
"AU-Tum",148.152083,-35.655722,1200,2001,2006,6,"Evergreen Broadleaf Forests","EBF",""
"AU-Wac",145.18725,-37.429,545,2005,2007,3,"Evergreen Broadleaf Forests","EBF",""
"BE-Bra",4.520556,51.309167,16,1997,2006,8,"Mixed Forests","MF",""
"BE-Jal",6.073333,50.563889,500,2006,2006,1,"Mixed Forests","MF",""
"BE-Lon",4.744772,50.552194,167,2004,2006,3,"Croplands","CRO","C3"
"BE-Vie",5.9968,50.3055,450,1996,2006,11,"Mixed Forests","MF",""
"BR-Sa3",-54.9714,-3.01803,100,2000,2003,4,"Evergreen Broadleaf Forests","EBF",""
"BW-Ghg",21.74,-21.51,-9999,2003,2003,1,"Savannas","SAV",""
"BW-Ghm",21.75,-21.2,-9999,2003,2003,1,"Woody Savannas","WSA",""
"BW-Ma1",23.5605,-19.9155,950,1999,2001,3,"Woody Savannas","WSA",""
"CA-Man",-98.4808,55.8796,259,1994,1994,1,"Evergreen Needleleaf Forests","ENF",""
"CA-Mer",-75.5186,45.4094,70,1998,2005,8,"Permanent Wetlands","WET",""
"CA-NS1",-98.4839,55.8792,260,2002,2005,4,"Evergreen Needleleaf Forests","ENF",""
"CA-NS2",-98.5247,55.9058,260,2001,2005,5,"Evergreen Needleleaf Forests","ENF",""
"CA-NS3",-98.3822,55.9117,260,2001,2005,5,"Evergreen Needleleaf Forests","ENF",""
"CA-NS4",-98.3822,55.9117,260,2002,2004,3,"Evergreen Needleleaf Forests","ENF",""
"CA-NS5",-98.485,55.8631,260,2001,2005,5,"Evergreen Needleleaf Forests","ENF",""
"CA-NS6",-98.9644,55.9167,244,2001,2005,5,"Open Shrublands","OSH",""
"CA-NS7",-99.9483,56.6358,297,2002,2005,4,"Open Shrublands","OSH",""
"CA-Qcu",-74.0365,49.2671,392.3,2001,2006,6,"Evergreen Needleleaf Forests","ENF",""
"CA-Qfo",-74.3421,49.6925,382,2003,2006,4,"Evergreen Needleleaf Forests","ENF",""
"CA-SF1",-105.818,54.485,536,2003,2005,3,"Evergreen Needleleaf Forests","ENF",""
"CA-SF2",-105.878,54.2539,520,2003,2005,3,"Evergreen Needleleaf Forests","ENF",""
"CA-SF3",-106.005,54.0916,540,2003,2005,3,"Open Shrublands","OSH",""
"CH-Oe1",7.731944,47.285833,450,2002,2006,5,"Grasslands","GRA","C3"
"CH-Oe2",7.734333,47.286306,452,2005,2005,1,"Croplands","CRO","C3"
"CZ-BK1",18.5384,49.5026,908,2000,2006,7,"Evergreen Needleleaf Forests","ENF",""
"CZ-wet",14.772,49.025,420,2006,2006,1,"Permanent Wetlands","WET",""
"DE-Bay",11.8669,50.1419,775,1996,1999,1,"Evergreen Needleleaf Forests","ENF",""
"DE-Geb",10.9143,51.1001,161.5,2004,2006,3,"Croplands","CRO","C3"
"DE-Gri",13.5125,50.9495,385,2005,2006,2,"Grasslands","GRA","?"
"DE-Hai",10.452,51.0793,430,2000,2006,7,"Deciduous Broadleaf Forests","DBF",""
"DE-Kli",13.5225,50.8929,480,2004,2006,3,"Croplands","CRO","C3C4"
"DE-Meh",10.6555,51.2753,286,2003,2006,4,"Grasslands","GRA",""
"DE-Tha",13.5669,50.9636,380,1996,2006,11,"Evergreen Needleleaf Forests","ENF",""
"DE-Wet",11.4575,50.4535,785,2002,2006,5,"Evergreen Needleleaf Forests","ENF",""
"DK-Fou",9.58722,56.4842,51,2005,2005,1,"Croplands","CRO",""
"DK-Lva",12.0833,55.6833,15,2005,2006,2,"Grasslands","GRA",""
"DK-Ris",12.0972,55.5303,10,2004,2005,2,"Croplands","CRO","C3"
"DK-Sor",11.6458,55.4869,40,1996,2006,11,"Deciduous Broadleaf Forests","DBF",""
"ES-ES1",-0.318806,39.345972,10,1999,2006,8,"Evergreen Needleleaf Forests","ENF",""
"ES-ES2",-0.315278,39.275556,10,2004,2006,3,"Croplands","CRO",""
"ES-LMa",-5.773361,39.9415,260,2004,2006,3,"Savannas","SAV",""
"ES-VDA",1.4485,42.152167,1770,2004,2006,3,"Grasslands","GRA",""
"FI-Hyy",24.2948,61.8474,181,1996,2006,11,"Evergreen Needleleaf Forests","ENF",""
"FI-Kaa",27.295,69.1407,155,2000,2006,7,"Permanent Wetlands","WET",""
"FI-Sod",26.6378,67.3619,180,2000,2006,7,"Evergreen Needleleaf Forests","ENF",""
"FR-Fon",2.78015,48.4763,90,2005,2006,2,"Deciduous Broadleaf Forests","DBF",""
"FR-Gri",1.9524,48.844,125,2005,2006,2,"Croplands","CRO","C3C4"
"FR-Hes",7.0646,48.6742,300,1997,2006,10,"Deciduous Broadleaf Forests","DBF",""
"FR-LBr",-0.7693,44.7171,61,1996,2006,8,"Evergreen Needleleaf Forests","ENF",""
"FR-Lq1",2.737,45.6441,1040,2004,2006,3,"Grasslands","GRA",""
"FR-Lq2",2.737,45.6392,1040,2004,2006,3,"Grasslands","GRA",""
"FR-Pue",3.5958,43.7414,270,2000,2006,7,"Evergreen Broadleaf Forests","EBF",""
"HU-Bug",19.6013,46.6911,140,2002,2006,5,"Grasslands","GRA",""
"HU-Mat",19.726,47.8469,350,2004,2006,3,"Grasslands","GRA",""
"ID-Pag",114.036,2.345,30,2002,2003,2,"Evergreen Broadleaf Forests","EBF",""
"IE-Ca1",-6.91814,52.8588,50,2004,2006,3,"Croplands","CRO","C3"
"IE-Dri",-8.7518,51.9867,187,2003,2005,3,"Grasslands","GRA",""
"IL-Yat",35.0515,31.345,650,2001,2006,6,"Evergreen Needleleaf Forests","ENF",""
"IS-Gun",-20.2167,63.8333,78,1996,1998,3,"Deciduous Broadleaf Forests","DBF",""
"IT-Amp",13.6052,41.9041,884.231,2002,2006,5,"Grasslands","GRA",""
"IT-BCi",14.957444,40.52375,20,2004,2006,3,"Croplands","CRO","C3C4"
"IT-Cas",8.6685,45.0628,-9999,2006,2006,1,"Croplands","CRO",""
"IT-Col",13.588139,41.849361,1550,1996,2006,11,"Deciduous Broadleaf Forests","DBF",""
"IT-Cpz",12.376106,41.705249,68.253,1997,2006,8,"Evergreen Broadleaf Forests","EBF",""
"IT-Lav",11.281175,45.955258,1353,2000,2006,5,"Evergreen Needleleaf Forests","ENF",""
"IT-Lec",11.270639,43.304611,314,2005,2006,2,"Evergreen Broadleaf Forests","EBF",""
"IT-LMa",7.581308,45.154633,350,2003,2006,4,"Grasslands","GRA",""
"IT-Mal",11.702778,46.116667,1730,2003,2006,4,"Grasslands","GRA",""
"IT-MBo",11.082853,46.029622,1550,2003,2006,4,"Grasslands","GRA","???"
"IT-Non",11.08868,44.68981,25,2001,2006,4,"Deciduous Broadleaf Forests","DBF",""
"IT-Pia",10.0784,42.583869,18,2002,2005,4,"Open Shrublands","OSH",""
"IT-PT1",9.061039,45.200872,60,2002,2004,3,"Deciduous Broadleaf Forests","DBF",""
"IT-Ren",11.434722,46.587778,1730,1999,2006,8,"Evergreen Needleleaf Forests","ENF",""
"IT-Ro1",11.920927,42.390258,234.771,2000,2006,7,"Deciduous Broadleaf Forests","DBF",""
"IT-Ro2",11.93002,42.408117,222.903,2002,2006,5,"Deciduous Broadleaf Forests","DBF",""
"IT-SRo",10.284444,43.727861,4,1999,2006,8,"Evergreen Needleleaf Forests","ENF",""
"NL-Ca1",4.927,51.971,0.7,2003,2006,4,"Grasslands","GRA",""
"NL-Haa",4.805556,52.003611,-9999,2003,2004,2,"Grasslands","GRA",""
"NL-Hor",5.0675,52.028889,-2.2,2004,2006,3,"Grasslands","GRA","???"
"NL-Lan",4.805556,52.003611,-9999,2005,2006,2,"Croplands","CRO","C4"
"NL-Loo",5.743958,52.167857,25,1996,2006,11,"Evergreen Needleleaf Forests","ENF",""
"NL-Lut",6.366667,53.383333,-9999,2006,2006,1,"Croplands","CRO",""
"NL-Mol",4.639083,51.65,-9999,2005,2006,2,"Croplands","CRO","C3"
"PL-wet",16.309444,52.762222,54.1,2004,2005,2,"Permanent Wetlands","WET",""
"PT-Esp",-8.6018,38.639383,93,2002,2006,4,"Evergreen Broadleaf Forests","EBF",""
"PT-Mi1",-8.000056,38.540639,250,2003,2005,3,"Evergreen Broadleaf Forests","EBF",""
"PT-Mi2",-8.024553,38.476539,190,2004,2006,3,"Grasslands","GRA","???"
"RU-Cok",147.494278,70.829139,-9999,2003,2005,3,"Open Shrublands","OSH",""
"RU-Fyo",32.9239,56.4617,265,1998,2004,7,"Evergreen Needleleaf Forests","ENF",""
"RU-Ha1",90.00215,54.72517,-9999,2002,2004,3,"Grasslands","GRA",""
"RU-Ha2",89.95664,54.77301,-9999,2002,2003,2,"Grasslands","GRA",""
"RU-Ha3",89.07785,54.70455,-9999,2004,2004,1,"Grasslands","GRA",""
"RU-Zot",89.350806,60.800797,90,2002,2004,3,"Evergreen Needleleaf Forests","ENF",""
"SE-Deg",19.556694,64.181972,-9999,2001,2005,5,"Permanent Wetlands","WET",""
"SE-Faj",13.553514,56.265469,140,2005,2006,2,"Permanent Wetlands","WET",""
"SE-Fla",19.456944,64.112778,226,1996,2002,6,"Evergreen Needleleaf Forests","ENF",""
"SE-Nor",17.479503,60.086497,43,1996,2005,6,"Evergreen Needleleaf Forests","ENF",""
"SE-Sk1",17.918056,60.125,42,2005,2005,1,"Evergreen Needleleaf Forests","ENF",""
"SE-Sk2",17.840056,60.129667,55,2004,2005,2,"Evergreen Needleleaf Forests","ENF",""
"SK-Tat",20.1635,49.120778,1063,2005,2005,1,"Evergreen Needleleaf Forests","ENF",""
"UK-AMo",-3.238889,55.791667,265,2005,2005,1,"Permanent Wetlands","WET",""
"UK-EBu",-3.205778,55.866,190,2004,2006,2,"Grasslands","GRA",""
"UK-ESa",-2.858611,55.906944,97,2003,2005,3,"Croplands","CRO","???"
"UK-Gri",-3.798056,56.607222,340,1997,2006,6,"Evergreen Needleleaf Forests","ENF",""
"UK-Ham",-0.860833,51.120833,80,2004,2005,2,"Deciduous Broadleaf Forests","DBF",""
"UK-Her",-0.476083,51.783778,140,2006,2006,1,"Croplands","CRO",""
"UK-PL3",-1.266667,51.45,115,2005,2006,2,"Deciduous Broadleaf Forests","DBF",""
"UK-Tad",-2.828611,51.207222,3,2001,2001,1,"Grasslands","GRA",""
"US-ARM",-97.4888,36.6058,317,2003,2006,4,"Croplands","CRO",""
"US-Aud",-110.5092,31.5907,1469,2002,2006,5,"Grasslands","GRA","C3C4"
"US-Bar",-71.288077,44.06464,272,2004,2005,2,"Deciduous Broadleaf Forests","DBF",""
"US-Bkg",-96.83617,44.34529,510,2004,2006,3,"Grasslands","GRA",""
"US-Blo",-120.63275,38.89525,1315,1997,2006,10,"Evergreen Needleleaf Forests","ENF",""
"US-Bo1",-88.2904,40.0062,219,1996,2007,12,"Croplands","CRO","C3C4"
"US-FPe",-105.1019,48.3077,634,2000,2006,7,"Grasslands","GRA",""
"US-Goo",-89.8735,34.2547,87,2002,2006,5,"Grasslands","GRA",""
"US-Ha1",-72.171478,42.537756,340,1991,2006,16,"Deciduous Broadleaf Forests","DBF",""
"US-Ho1",-68.7402,45.2041,60,1996,2004,9,"Evergreen Needleleaf Forests","ENF",""
"US-Ho2",-68.747,45.20912,91,1999,2004,6,"Evergreen Needleleaf Forests","ENF",""
"US-Los",-89.97919,46.08268,480,2001,2005,5,"Closed Shrublands","CSH",""
"US-Me4",-121.6224,44.4992,922,1996,2000,5,"Evergreen Needleleaf Forests","ENF",""
"US-MMS",-86.413139,39.32315,275,1999,2005,7,"Deciduous Broadleaf Forests","DBF",""
"US-MOz",-92.200009,38.74411,219.4,2004,2006,3,"Deciduous Broadleaf Forests","DBF",""
"US-Ne1",-96.476638,41.165056,361,2001,2005,5,"Croplands","CRO","C3C4"
"US-Ne2",-96.4701,41.164871,362,2001,2005,5,"Croplands","CRO","C3C4"
"US-Ne3",-96.439646,41.179667,363,2001,2005,5,"Croplands","CRO","C3C4"
"US-Oho",-83.84376,41.55454,230,2004,2005,2,"Deciduous Broadleaf Forests","DBF",""
"US-PFa",-90.272304,45.945878,470,1996,2003,6,"Mixed Forests","MF",""
"US-SP1",-82.218767,29.738067,50,2000,2005,3,"Evergreen Needleleaf Forests","ENF",""
"US-SP2",-82.244817,29.7648,50,1998,2004,7,"Evergreen Needleleaf Forests","ENF",""
"US-SP3",-82.163283,29.754767,50,1999,2004,6,"Evergreen Needleleaf Forests","ENF",""
"US-SP4",-82.20315,29.802817,47,1998,1998,1,"Evergreen Needleleaf Forests","ENF",""
"US-Syv",-89.34765,46.242017,540,2002,2006,5,"Mixed Forests","MF",""
"US-Ton",-120.966,38.4316,177,2001,2006,6,"Woody Savannas","WSA",""
"US-UMB",-84.71382,45.55984,234,1999,2003,5,"Deciduous Broadleaf Forests","DBF",""
"US-Var",-120.950733,38.406667,129,2001,2006,6,"Grasslands","GRA","C3"
"US-WBW",-84.287433,35.958767,283,1995,1999,5,"Deciduous Broadleaf Forests","DBF",""
"US-WCr",-90.079859,45.805927,520,1999,2006,8,"Deciduous Broadleaf Forests","DBF",""
"US-Wi0",-91.081444,46.618778,349,2002,2002,1,"Evergreen Needleleaf Forests","ENF",""
"US-Wi1",-91.232944,46.730472,352,2003,2003,1,"Deciduous Broadleaf Forests","DBF",""
"US-Wi2",-91.152833,46.686889,395,2003,2003,1,"Evergreen Needleleaf Forests","ENF",""
"US-Wi4",-91.16625,46.739333,352,2002,2005,4,"Evergreen Needleleaf Forests","ENF",""
"US-Wi5",-91.085806,46.653083,353,2004,2004,1,"Evergreen Needleleaf Forests","ENF",""
"US-Wi6",-91.298222,46.624889,371,2002,2002,1,"Open Shrublands","OSH",""
"US-Wi7",-91.069278,46.649111,335,2005,2005,1,"Open Shrublands","OSH",""
"US-Wi8",-91.252417,46.722333,348,2002,2002,1,"Deciduous Broadleaf Forests","DBF",""
"US-Wi9",-91.081444,46.618778,350,2004,2005,2,"Evergreen Needleleaf Forests","ENF",""
"ZA-Kru",31.4969,-25.0197,-9999,2001,2003,3,"Savannas","SAV",""
